Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Bryan Hudson","MIL",5,1,0,39,0,55.2,9.377246579980746,2.2634733124091455,1.1317366562045728,0.16666666666666666,0.9375,0.424242424,0.134615384,91.64368976757369,1.9401199820649817,3.08,3.629638496223715,3.409795816612614,0.6471174359321594,"Bryan Hudson",19924,663542
"Jordan Wicks","CHC",1,2,0,7,6,28,10.285715336702415,3.214286042719505,0.6428572085439009,0.35365853658536583,0.67164179,0.385542168,0.066666666,93.3096435546875,4.178571855535356,3.99,3.0911439958883786,3.78541794524997,0.6342919878661633,"Jordan Wicks",30094,696136
"Cionel Pérez","BAL",2,0,2,47,0,41,8.121952730867848,4.390244719388026,0,0.28448275862068967,0.66666667,0.530973451,0,96.47375118371212,3.951220247449223,3.67,3.113792077733389,4.443733845089474,0.6329147815704346,"Cionel Perez",19614,672335
"David Peterson","NYM",7,1,0,14,14,78,7.384615384615385,4.038461538461538,0.8076923076923077,0.28699551569506726,0.81213307,0.539130434,0.114754098,93.36263852835464,3,5.16,4.265136677179582,4.283008379890369,0.6294682621955872,"David Peterson",20302,656849
"Anthony Banda","LAD",1,2,1,39,1,40.1,10.041324530018947,3.5702487217845147,0.6694216353345964,0.27722772277227725,0.82589286,0.41,0.081081081,95.98660946800595,2.2314054511153216,3.19,3.2369527563193228,3.6594881702642734,0.6125246584415436,"Anthony Banda",14706,607455
"Garrett Cleavinger","TBR",7,3,3,55,0,49,11.204083377150457,4.408163951665754,0.5510204939582193,0.3017241379310345,0.78369906,0.423728813,0.068181818,96.35797991071429,2.755102469791096,4.05,3.3054297397157577,3.8696103841684786,0.6087628602981567,"Garrett Cleavinger",17897,664076
"Braxton Garrett","MIA",2,2,0,7,7,37,8.27027027027027,0.972972972972973,1.2162162162162162,0.30973451327433627,0.5952381,0.512820512,0.142857142,90.82284322599085,5.351351351351352,4.43,3.8112212232641274,3.4872468096178935,0.5885589718818665,"Braxton Garrett",21844,666129
"Cole Irvin","BAL",6,5,0,22,15,99,6.181818420017836,2.0909091714766213,1.363636416180405,0.31384615384615383,0.67741935,0.37797619,0.106382978,91.8732659755609,4.818182003837432,5.73,4.607017074717685,4.794556904168441,0.5473152101039886,"Cole Irvin",19244,608344
"Cam Booser","BOS",2,2,1,41,0,42,9.000001634870554,2.7857147917456477,0.8571430128448146,0.2966101694915254,0.79741379,0.3,0.06779661,95.44353170955883,3.000000544956851,3.22,3.329239271557526,4.218874708678997,0.5113683342933655,"Cam Booser",16061,592155
"Jalen Beeks","- - -",6,4,9,55,0,57,7.263159535268377,3.31579022262252,0.9473686350350058,0.28994082840236685,0.67055394,0.445086705,0.086956521,94.77720488934712,4.263158857657526,3.59,4.074853482426965,4.539963022048365,0.5026195049285889,"Jalen Beeks",17192,656222
"Jordan Montgomery","ARI",8,6,0,19,19,95,6.347368421052631,3.4105263157894736,1.1368421052631579,0.3512658227848101,0.62849162,0.436137071,0.109090909,92.0935910247093,6.442105263157894,5.23,4.562572574615478,4.674279081821442,0.5002024173736572,"Jordan Montgomery",16511,656756
"JoJo Romero","STL",5,2,0,53,0,50.1,7.688743664253605,1.788079921919443,0.8940399609597215,0.2608695652173913,0.83333333,0.485507246,0.116279069,95.36008360327745,2.50331189068722,4.52,3.579791223063349,3.5823778128684567,0.4933781623840332,"JoJo Romero",19574,668941
"Danny Coulombe","BAL",1,0,1,29,0,26,9.69231124742627,1.0384619193671003,1.0384619193671003,0.1724137931034483,0.76271186,0.459016393,0.115384615,91.46603628305289,2.4230778118565675,2.46,2.854880154062264,2.8695357792976104,0.4928656220436096,"Danny Coulombe",13293,543056
"John Means","BAL",2,0,0,4,4,20.2,6.9677421498373135,0.8709677687296642,0.8709677687296642,0.23728813559322035,0.80246914,0.183333333,0.058823529,90.576806640625,2.6129033061889926,4.77,3.307733869403756,4.541522185193327,0.48222482204437256,"John Means",16269,607644
"Aroldis Chapman","PIT",4,4,4,53,0,47.2,14.349652263621651,6.41958127583074,0.9440560699751087,0.26436781609195403,0.73684211,0.439560439,0.138888888,97.78964715254934,3.20979063791537,3.29,3.603132073937196,3.3834313938979594,0.4654677212238312,"Aroldis Chapman",10233,547973
"Martín Pérez","- - -",3,5,0,20,20,106,7.30188679245283,3.056603773584906,1.528301886792453,0.328125,0.76197388,0.44047619,0.15,91.80857890361064,4.669811320754717,5.41,4.879553706690951,4.386711012192492,0.4520760327577591,"Martin Perez",6902,527048
"Matthew Liberatore","STL",3,3,0,44,6,68.1,8.165855178061728,3.0292688563777377,1.0536587326531262,0.2810810810810811,0.67750678,0.422459893,0.105263157,94.61585764185153,4.478049613775786,4.22,3.96745077316995,4.1300921757664755,0.43505578488111496,"Matthew Liberatore",22294,669461
"Andrew Chafin","- - -",4,2,1,51,0,45.2,12.021900237112023,4.532847630386501,0.985401658779674,0.33636363636363636,0.76271186,0.339130434,0.096153846,91.94787808122307,3.5474459716068267,3.31,3.4910397942087035,3.792399538972827,0.39675143361091614,"Andrew Chafin",12988,605177
