Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Johnny Cueto","LAA",0,1,0,1,1,6.1,1.4210527029063929,2.8421054058127857,1.4210527029063929,0.2916666666666667,0.81395349,0.52,0.125,91.22688802083333,4.263158108719178,12.76,5.846783235660888,5.7074008537507455,-0.016603773459792137,"Johnny Cueto",6893,456501
"Dakota Hudson","COL",2,12,0,18,18,89,4.955056604540244,5.056180208714535,1.1123596459171978,0.3044982698961938,0.63492063,0.523489932,0.125,90.18636976522842,6.168539854631733,5.96,5.5221233386822615,5.413018773685087,-0.018263690173625946,"Dakota Hudson",19206,641712
"Carlos Rodriguez","MIL",0,3,0,3,3,12.1,6.567568244683368,2.189189414894456,2.189189414894456,0.38095238095238093,0.61797753,0.272727272,0.166666666,93.20314771075581,7.2972980496481865,5.81,5.5950052578315415,4.643421469788825,-0.019109489396214485,"Carlos Rodriguez",30161,692230
"Jose Trevino","NYY",0,0,0,2,0,2,0,9,0,0.45454545454545453,0.57142857,0.454545454,0,57.280802408854164,13.5,24.16,6.162572574615479,9.191883814334869,-0.021203365176916122,"Jose Trevino",16725,624431
"Julian Aguiar","CIN",0,0,0,1,1,4,4.5,2.25,2.25,0.23076923076923078,0.86956522,0.357142857,0.166666666,93.77215285528274,4.5,9.21,6.912572574615479,5.934556004405022,-0.02232646755874157,"Julian Aguiar",30031,687924
"Isiah Kiner-Falefa","TOR",0,0,0,2,0,2,0,9,0,0.14285714285714285,0.66666667,0.285714285,0,67.8612060546875,4.5,6.04,6.162572574615479,9.191883814334869,-0.022811515256762505,"Isiah Kiner-Falefa",16512,643396
"Tommy Kahnle","NYY",0,1,0,37,0,32,9.562501709908553,4.21875075437142,1.125000201165712,0.21518987341772153,0.86419753,0.597560975,0.19047619,94.0393597146739,1.6875003017485681,3.27,4.256322770193254,3.6253154078932703,-0.024555742740631104,"Tommy Kahnle",11384,592454
"Jake Woodford","- - -",0,5,0,7,5,27,6.000000211927634,2.0000000706425443,1.6666667255354537,0.3010752688172043,0.48571429,0.350515463,0.128205128,92.03505770365398,6.666666902141815,5.48,5.236646721948487,5.017075202138429,-0.025290146470069885,"Jake Woodford",18674,663765
"Abner Uribe","MIL",2,2,3,14,0,14.1,8.790699039168542,7.534884890715893,0.6279070742263244,0.358974358974359,0.625,0.575,0.111111111,100.27649688720703,6.906977816489568,4.77,4.6276890811435685,4.671775174876551,-0.02702205441892147,"Abner Uribe",25327,682842
"Nick Robertson","STL",0,0,0,8,0,12.1,10.216217269507462,1.4594596099296373,2.189189414894456,0.36363636363636365,0.859375,0.333333333,0.176470588,94.61797752808988,4.378378829788912,4.83,4.540951095104581,3.46655737927641,-0.02743922360241413,"Nick Robertson",26226,687798
"Wes Parsons","- - -",0,0,0,4,0,9,7,2,2,0.2962962962962963,0.65217391,0.517241379,0.285714285,95.11398703835228,6,6.94,5.162572574615479,3.451749167839686,-0.028362393379211426,"Wes Parsons",14764,641149
"Shelby Miller","DET",6,7,2,43,0,46.2,7.521429596142033,1.7357145221866228,1.350000183922929,0.2109375,0.53763441,0.385185185,0.107692307,93.59948039504717,5.014286397428021,3.56,4.276858440710595,4.436557361558136,-0.029559072107076645,"Shelby Miller",10197,571946
"Kenta Maeda","DET",2,5,0,22,16,90.1,7.0738011363012525,2.4907750479933988,1.7933580345552471,0.30514705882352944,0.62620424,0.370242214,0.139534883,90.84489225176735,6.177122119023629,4.52,5.110912167712537,4.683501534369118,-0.02959170937538147,"Kenta Maeda",18498,628317
